idaction,name,hash,type,url_prefix
78,ecomst.vipani.ai/rfq/buyer/rfq-product-quote-list?rfqId=404&product=1320,2671833293,1,2.0
79,ecomst.vipani.ai/rfq/buyer/quote-details?rfqId=404&product=1320&quoteId=296&seller=509,844464605,1,2.0
80,ecomst.vipani.ai/rfq/buyer/generate-po?quoteId=296&rfqId=404&sellerId=509,1737396371,1,2.0
81,ecomst.vipani.ai/order-management/sent-to-supplier?id=128,336083006,1,2.0
82,ecomst.vipani.ai/order-management/sent-to-supplier-view?id=128,3952570280,1,2.0
83,ecomst.vipani.ai/order-management/create-invoice?id=128&poId=128,3981020759,1,2.0
84,ecomst.vipani.ai/order-management/send-to-buyer?id=128,328133216,1,2.0
85,ecomst.vipani.ai/order-management/send-to-buyer-view?invoiceId=63,7586725,1,2.0
86,localhost/order-management/seller-purchage-order-list,3537581615,1,0.0
87,localhost/order-management/seller-po-view?id=828,512756732,1,0.0
88,localhost/order-management/seller-po-view?id=844,1098702929,1,0.0
89,localhost/order-management/create-invoice?poId=781,2940156993,1,0.0
90,localhost/order-management/seller-po-view?id=843,3742922226,1,0.0
91,localhost/order-management/seller-invoice-list,4039868466,1,0.0
92,localhost/order-management/seller-po-view?id=848,1221241978,1,0.0
93,localhost/order-management/seller-parent-invoice?invoiceId=622&invoiceType=parent,1760854057,1,0.0
94,localhost/order-management/send-to-buyer-view?invoiceId=621&invoiceType=parent,1032135488,1,0.0
95,localhost/order-management/seller-po-view?id=848&poId=848,716301379,1,0.0
96,localhost/order-management/seller-parent-invoice?invoiceId=628&invoiceType=parent,1071718423,1,0.0
97,localhost/order-management/invoice-approve?invoiceId=642&invoiceType=parent,1888760371,1,0.0
98,ecomst.vipani.ai/e-commerce/category-two/51ff2de88df3af64a57b2020a0d8a13d,3126866014,1,2.0
99,ecomst.vipani.ai/e-commerce/category-two/5c36a8ace69dce36fe058edbe1511bac,1613876818,1,2.0
100,ecomst.vipani.ai/e-commerce/category-three/193a1c8a0ad0f9b4c75799a9e0e1ae33,937286332,1,2.0
