idsite,name,main_url,ts_created,ecommerce,sitesearch,sitesearch_keyword_parameters,sitesearch_category_parameters,timezone,currency,exclude_unknown_urls,excluded_ips,excluded_parameters,excluded_user_agents,excluded_referrers,group,type,keep_url_fragment,creator_login
1,dev,https://devpy.vipani.ai,2025-02-20 05:30:00,1,1,,,Asia/Kolkata,USD,0,,,,,,website,0,anonymous
2,staging,https://ecomst.vipani.ai,2025-02-20 05:30:00,1,1,,,Asia/Kolkata,INR,1,,,,,,website,1,mat_vipani
4,Vipani Prod,https://stuam.vipani.ai,2025-02-21 15:26:47,1,1,,,Asia/Kolkata,INR,1,,,,,,website,1,mat_vipani
5,Vipani onboarding,https://unify.vipani.ai/onboarding,2025-02-27 05:30:00,0,1,,,Asia/Kolkata,INR,1,,,,,,website,0,mat_vipani
6,Demo,https://demopy.vipani.ai,2025-03-11 05:30:00,1,1,,,Asia/Kolkata,INR,1,,,,,,website,1,mat_vipani
